year,address,lat,lng,workers
2013,"Enterprise, OR 97828, USA",45.42626170000001,-117.2787815,4
2013,"Ione, OR 97843, USA",45.5012431,-119.82475079999999,3
2013,"Ione, OR, United States",45.500980377197294,-119.828903198242,3
2013,"Juntura, OR 97911, USA",43.7446021,-118.07962490000001,1
2013,"Madras, OR 97741, USA",44.6334544,-121.1294872,5
2013,"Madras, OR, United States",44.6335296630859,-121.130096435547,2
2013,"Newberg, OR 97132, USA",45.300117799999995,-122.97315649999999,3
2013,"Salem, OR, United States",44.9332618713379,-123.043807983398,1
2013,"Seneca, OR, United States",44.1339302062988,-118.96990966796899,1
2013,"Westfall, OR, United States",43.9925689697266,-117.711601257324,2
2014,"Albany, OR, USA",44.6365107,-123.10592820000001,38
2014,"Burns, OR 97720, USA",43.5862606,-119.05410320000001,4
2014,"Damascus, OR, USA",45.417620899999996,-122.45897830000001,29
2014,"Enterprise, OR 97828, USA",45.42626170000001,-117.2787815,4
2014,"Hermiston, OR, USA",45.8404101,-119.2894605,15
2014,"Hermiston, OR, United States",45.840511322021506,-119.28946685791,43
2014,"Hood River, OR, United States",45.7088508605957,-121.510726928711,40
2014,"Ione, OR 97843, USA",45.5012431,-119.82475079999999,1
2014,"Jordan Valley, OR, United States",42.974338531494105,-117.05310821533199,1
2014,"Juntura, OR 97911, USA",43.7446021,-118.07962490000001,1
2014,"Madras, OR 97741, USA",44.6334544,-121.1294872,15
2014,"Newberg, OR 97132, USA",45.300117799999995,-122.97315649999999,3
2014,"North Powder, OR, United States",45.02865982055661,-117.91931915283199,2
2014,"Salem, OR, United States",44.9332618713379,-123.043807983398,3
2015,"Albany, OR, USA",44.6365107,-123.10592820000001,38
2015,"Burns, OR 97720, USA",43.5862606,-119.05410320000001,1
2015,"Carlton, OR, USA",45.29428220000001,-123.17649490000001,2
2015,"Damascus, OR, USA",45.417620899999996,-122.45897830000001,40
2015,"Echo, OR 97826, USA",45.7423537,-119.195567,283
2015,"Fort Rock, OR 97735, USA",43.3567987,-121.0548451,2
2015,"Frenchglen, OR 97736, USA",42.82796870000001,-118.9152153,1
2015,"Harney County, OR, USA",43.1423225,-119.0116305,2
2015,"Hood River, OR, United States",45.7088508605957,-121.510726928711,54
2015,"Ione, OR 97843, USA",45.5012431,-119.82475079999999,2
2015,"Juntura, OR 97911, USA",43.7446021,-118.07962490000001,1
2015,"Medford, OR, United States",42.323558807373,-122.875610351563,90
2015,"Newberg, OR 97132, USA",45.300117799999995,-122.97315649999999,3
2015,"Oregon City, OR 97045, USA",45.3573429,-122.60675829999998,34
2015,"Pilot Rock, OR, United States",45.48371887207029,-118.83300018310499,3
2015,"Portland, OR, United States",45.511791229248,-122.67562866210899,7
2015,"The Dalles, OR, United States",45.6015510559082,-121.183433532715,10
2016,"Albany, OR, USA",44.6365107,-123.10592820000001,36
2016,"Aurora, OR 97002, USA",45.2309536,-122.7559267,11
2016,"Brownsville, OR 97327, USA",44.3934571,-122.9848108,4
2016,"Burns, OR 97720, USA",43.5862606,-119.05410320000001,1
2016,"Carlton, OR, USA",45.29428220000001,-123.17649490000001,2
2016,"Christmas Valley, OR, USA",43.237797,-120.6708853,2
2016,"Damascus, OR, USA",45.417620899999996,-122.45897830000001,38
2016,"Fairview, OR, USA",45.538452899999996,-122.4339803,151
2016,"Fort Rock, OR 97735, USA",43.3567987,-121.0548451,2
2016,"Hermiston, OR, United States",45.840511322021506,-119.28946685791,34
2016,"Hood River, OR, United States",45.7088508605957,-121.510726928711,53
2016,"Independence, OR, United States",44.85115814208979,-123.18688201904301,28
2016,"Ione, OR 97843, USA",45.5012431,-119.82475079999999,4
2016,"Ione, OR, United States",45.500980377197294,-119.828903198242,3
2016,"Madras, OR 97741, USA",44.6334544,-121.1294872,48
2016,"Madras, OR, United States",44.6335296630859,-121.130096435547,1
2016,"Medford, OR, United States",42.323558807373,-122.875610351563,177
2016,"Milton-Freewater, OR 97862, USA",45.9326346,-118.3877435,2
2016,"Mosier, OR, United States",45.683650970459006,-121.397758483887,59
2016,"Newberg, OR 97132, USA",45.300117799999995,-122.97315649999999,3
2016,"Oregon City, OR, United States",45.33650970458979,-122.592727661133,16
2016,"Parkdale, OR 97041, USA",45.5198391,-121.59674170000001,28
2016,"Pilot Rock, OR, USA",45.4831849,-118.8299848,3
2016,"Pilot Rock, OR, United States",45.48371887207029,-118.83300018310499,4
2016,"Portland, OR, United States",45.511791229248,-122.67562866210899,5
2016,"Seneca, OR, United States",44.1339302062988,-118.96990966796899,5
